14,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839,U07681,P50213,IDH3A_HUMAN,"",IDH3A,IDH3A,HGNC:5384,03094,human,Homo sapiens,DB00157
15,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,,CACNA1I,CACNA1I,HGNC:1396,10500,human,Homo sapiens,DB00568; DB00617; DB00661; DB00909; DB01388; DB04841
16,Adenosine A1 receptor,ADORA1,256155,S45235,P30542,AA1R_HUMAN,"",ADORA1,ADORA1,HGNC:262,00042,human,Homo sapiens,DB00201; DB00277; DB00640; DB00651; DB00806; DB00996; DB01223; DB01303; DB01412; DB04932
17,Proto-oncogene tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,1OPL,ABL1,ABL1,HGNC:76,01809,human,Homo sapiens,DB00171; DB00619; DB01254; DB03878; DB04868; DB07831; DB08043; DB08231; DB08339; DB08350; DB08583
18,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,1RPQ,FCER1A,FCER1A,HGNC:3609,00917,human,Homo sapiens,DB00043; DB00895; DB02944
19,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,"",F8,F8,HGNC:3546,02384,human,Homo sapiens,DB00055; DB00100
20,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,,PTGS1,PTGS1,HGNC:9604,07518,human,Homo sapiens,DB00154; DB00159; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00469; DB00500; DB00554; DB00573; DB00586; DB00605; DB00711; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01398; DB01399; DB01401; DB01419; DB01435; DB01600; DB01837; DB01892; DB02047; DB02110; DB02198; DB02266; DB02379; DB02687; DB02709; DB02773; DB02944; DB03014; DB03667; DB03752; DB03753; DB03783; DB04552; DB04557; DB04817; DB06725; DB06802; DB07981; DB07983; DB07984; DB08814
21,Beta-adrenergic receptor kinase 2,ADRBK2,312395,X69117,P35626,ARBK2_HUMAN,"",ADRBK2,ADRBK2,HGNC:290,00183,human,Homo sapiens,DB00171
22,30S ribosomal protein S4,rpsD,42798,X02543,P0A7V8,RS4_ECOLI,1P87,,,,,bacterial,Escherichia coli,DB00254; DB00256; DB00453; DB00595; DB00618; DB01017
23,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,,DRD1,DRD1,HGNC:3020,00538,human,Homo sapiens,DB00246; DB00248; DB00268; DB00334; DB00353; DB00363; DB00372; DB00397; DB00408; DB00413; DB00420; DB00477; DB00502; DB00508; DB00543; DB00589; DB00623; DB00679; DB00714; DB00726; DB00734; DB00777; DB00800; DB00805; DB00850; DB00875; DB00988; DB01038; DB01063; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01287; DB01403; DB01608; DB01614; DB01621; DB01622; DB01623; DB01624; DB05271; DB06216
24,Thymidylate synthase,TMP1,7537304,J04230,P12461,TYSY_CANAL,,,,,,fungal,Candida albicans,DB01099
25,Solute carrier family 13 member 1,SLC13A1,12620132,AF260824,Q9BZW2,S13A1_HUMAN,,SLC13A1,SLC13A1,HGNC:10916,08394,human,Homo sapiens,DB00139
26,Vascular endothelial growth factor receptor 3,FLT4,297050,X69878,P35916,VGFR3_HUMAN,,FLT4,FLT4,HGNC:3767,00636,human,Homo sapiens,DB00398; DB01268; DB06589
27,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,1I5H,SCNN1B,SCNN1B,HGNC:10600,02861,human,Homo sapiens,DB00384; DB00594
28,Collagen alpha-1(I) chain,COL1A1,1418928,Z74615,P02452,CO1A1_HUMAN,,COL1A1,COL1A1,HGNC:2197,00362,human,Homo sapiens,DB00048
29,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,,TUBB1,TUBB1,HGNC:16257,18243,human,Homo sapiens,DB00309; DB01229; DB01248; DB01394; DB01873; DB03010; DB06772
30,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,6002197,X99726,P56181,NDUV3_HUMAN,,NDUFV3,NDUFV3,HGNC:7719,03716,human,Homo sapiens,DB00157
31,"Phenylalanyl-tRNA synthetase, mitochondrial",FARS2,3983103,AF097441,O95363,SYFM_HUMAN,,FARS2,FARS2,HGNC:21062,09946,human,Homo sapiens,DB00120
32,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,"",FLT1,FLT1,HGNC:3763,01297,human,Homo sapiens,DB01268; DB06589; DB07288
33,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,,SLC7A11,SLC7A11,HGNC:11059,09720,human,Homo sapiens,DB00138; DB00142; DB00740; DB00795
34,7-dehydrocholesterol reductase,DHCR7,4191398,AF096305,Q9UBM7,DHCR7_HUMAN,,DHCR7,DHCR7,HGNC:2860,04174,human,Homo sapiens,DB00157
35,Dehydrogenase/reductase SDR family member 4,DHRS4,4105190,AF044127,Q9BTZ2,DHRS4_HUMAN,,DHRS4,DHRS4,HGNC:16985,07484,human,Homo sapiens,DB00162
36,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,1IRK,INSR,INSR,HGNC:6091,00975,human,Homo sapiens,DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB03909; DB08513
37,Probable arabinosyltransferase A,embA,2073559,U68480,P0A560,EMBA_MYCTU,"",,,,,bacterial,Mycobacterium tuberculosis,DB00330
38,Cystinosin,CTNS,3036851,Y15924,O60931,CTNS_HUMAN,,CTNS,CTNS,HGNC:2518,05885,human,Homo sapiens,DB00138
40,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,"",RAF1,RAF1,HGNC:9829,01265,human,Homo sapiens,DB00398
41,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,1935056,U65579,O00217,NDUS8_HUMAN,,NDUFS8,NDUFS8,HGNC:7715,03683,human,Homo sapiens,DB00157
42,Phenylalanyl-tRNA synthetase alpha chain,FARSA,2102679,U07424,Q9Y285,SYFA_HUMAN,,FARSLA,FARSLA,HGNC:3592,04227,human,Homo sapiens,DB00120
45,"Lipoyltransferase 1, mitochondrial",LIPT1,4586380,AB017566,Q9Y234,LIPT_HUMAN,,LIPT1,LIPT1,HGNC:29569,17282,human,Homo sapiens,DB00166
46,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,"",F5,F5,HGNC:3542,01964,human,Homo sapiens,DB00055; DB04558
48,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,1RFV,PDXK,PDXK,HGNC:8819,01526,human,Homo sapiens,DB00147; DB00165; DB03431; DB03909; DB04770; DB04776
49,Endothelin B receptor,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,"",EDNRB,EDNRB,HGNC:3180,08834,human,Homo sapiens,DB00559; DB06268
50,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,4457237,U47105,Q15738,NSDHL_HUMAN,,NSDHL,NSDHL,HGNC:13398,02229,human,Homo sapiens,DB00157
51,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,,CHRM3,CHRM3,HGNC:1952,00329,human,Homo sapiens,DB00185; DB00193; DB00202; DB00246; DB00280; DB00321; DB00332; DB00334; DB00340; DB00342; DB00363; DB00376; DB00383; DB00387; DB00420; DB00424; DB00434; DB00458; DB00462; DB00496; DB00505; DB00517; DB00540; DB00572; DB00622; DB00715; DB00725; DB00729; DB00747; DB00767; DB00777; DB00785; DB00809; DB00835; DB00934; DB01036; DB01062; DB01069; DB01085; DB01142; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01337; DB01338; DB01403; DB01409; DB01591; DB01625; DB04843; DB06702; DB06709
52,Pyruvate kinase isozymes R/L,PKLR,3327365,AB015983,P30613,KPYR_HUMAN,1LIU,PKLR,PKLR,HGNC:9020,11841,human,Homo sapiens,DB00119; DB02726; DB04551
53,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,,SLC12A5,SLC12A5,HGNC:13818,09469,human,Homo sapiens,DB00761; DB00887
54,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,1HAG,F2,F2,HGNC:3535,01488,human,Homo sapiens,DB00001; DB00006; DB00055; DB00100; DB00170; DB00278; DB01123; DB01766; DB01767; DB02193; DB02351; DB02723; DB03136; DB03159; DB03847; DB03865; DB04136; DB04591; DB04697; DB04722; DB04771; DB04772; DB04786; DB04898; DB06695; DB06838; DB06841; DB06845; DB06850; DB06853; DB06854; DB06858; DB06859; DB06861; DB06865; DB06866; DB06868; DB06869; DB06878; DB06911; DB06919; DB06929; DB06936; DB06942; DB06947; DB06996; DB07005; DB07016; DB07027; DB07083; DB07088; DB07091; DB07095; DB07105; DB07120; DB07128; DB07131; DB07133; DB07143; DB07165; DB07190; DB07211; DB07277; DB07278; DB07279; DB07353; DB07366; DB07376; DB07400; DB07440; DB07461; DB07508; DB07515; DB07521; DB07522; DB07527; DB07548; DB07549; DB07550; DB07639; DB07658; DB07659; DB07660; DB07665; DB07718; DB07741; DB07796; DB07809; DB07897; DB07934; DB07944; DB07946; DB08061; DB08062; DB08152; DB08187; DB08254; DB08422; DB08546; DB08624
55,High affinity immunoglobulin epsilon receptor gamma-subunit,FCER1G,182488,M33195,P30273,FCERG_HUMAN,"",FCER1G,FCER1G,HGNC:3611,00916,human,Homo sapiens,DB00895
56,Delta-aminolevulinic acid dehydratase,ALAD,178329,M13928,P13716,HEM2_HUMAN,1E51,ALAD,ALAD,HGNC:395,00504,human,Homo sapiens,DB00855; DB02068; DB02239; DB02260; DB02272; DB02878; DB04560; DB04781
57,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,"",HSD3B1,HSD3B1,HGNC:5217,04920,human,Homo sapiens,DB00157; DB01108; DB01536
58,Cationic amino acid transporter 4,SLC7A4,4378940,AJ000730,O43246,CTR4_HUMAN,,SLC7A4,SLC7A4,HGNC:11062,04780,human,Homo sapiens,DB00123; DB00125; DB00129
59,AMT protein,AMT,48257290,BC007546,Q96IG6,Q96IG6_HUMAN,,AMT,AMT,HGNC:473,01997,human,Homo sapiens,DB00116
61,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,folK,2113971,BX842583,P64143,HPPK_MYCTU,"",,,,,bacterial,Mycobacterium tuberculosis,DB00233
62,Glycine receptor subunit beta,GLRB,992687,U33267,P48167,GLRB_HUMAN,1T3E,GLRB,GLRB,HGNC:4329,11751,human,Homo sapiens,DB00145; DB00431
63,Malate dehydrogenase,mdh,41989,Y00129,P61889,MDH_ECOLI,2CMD,,,,,bacterial,Escherichia coli,DB00336; DB01907
64,Neuraminidase,NA,324460,K01150,P06818,NRAM_I79A0,2BAT,,,,,viral,Influenzavirus A Influenza A virus,DB00558
65,Matrix metalloproteinase-9,"",177205,J05070,P14780,MMP9_HUMAN,1L6J,MMP9,MMP9,HGNC:7176,00387,human,Homo sapiens,DB00786; DB01017; DB01197; DB01296; DB01949; DB03683; DB07117; DB07246; DB07285
66,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,"",HSD3B2,HSD3B2,HGNC:5218,01941,human,Homo sapiens,DB00157; DB01108
67,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,190786,M24486,P13674,P4HA1_HUMAN,1TJC,P4HA1,P4HA1,HGNC:8546,08901,human,Homo sapiens,DB00126; DB00139; DB00172; DB01275
68,Cannabinoid receptor 1,CNR1,29915,X54937,P21554,CNR1_HUMAN,"",CNR1,CNR1,HGNC:2159,00259,human,Homo sapiens,DB00470; DB00486; DB06155
70,Type-1 angiotensin II receptor,AGTR1,179122,M91464,P30556,AGTR1_HUMAN,"",AGTR1,AGTR1,HGNC:336,00107,human,Homo sapiens,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB01342; DB01347; DB01349; DB08822
72,"Seryl-tRNA synthetase, cytoplasmic",SARS,1050527,X91257,P49591,SYSC_HUMAN,"",SARS,SARS,HGNC:10537,09605,human,Homo sapiens,DB00133
73,"Prostaglandin E2 receptor, EP1 subtype",PTGER1,410209,L22647,P34995,PE2R1_HUMAN,"",PTGER1,PTGER1,HGNC:9593,08903,human,Homo sapiens,DB00297; DB00429; DB00770; DB00905; DB00917; DB01088
74,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,35360,Y00978,P10515,ODP2_HUMAN,1FYC,DLAT,DLAT,HGNC:2896,10578,human,Homo sapiens,DB00157; DB03758; DB03760
75,B-lymphocyte antigen CD20,MS4A1,29774,X12530,P11836,CD20_HUMAN,,MS4A1,MS4A1,HGNC:7315,00204,human,Homo sapiens,DB00073; DB00078; DB00081
76,"Nitric-oxide synthase, brain",NOS1,642526,U17327,P29475,NOS1_HUMAN,1TLL,NOS1,NOS1,HGNC:7872,01226,human,Homo sapiens,DB00155; DB01821; DB01942; DB01997; DB02027; DB02044; DB02077; DB02143; DB02644; DB02692; DB02727; DB02944; DB02991; DB03014; DB03144; DB03147; DB03247; DB03449; DB03461; DB03707; DB03710; DB03892; DB04223; DB08018; DB08019
77,L-lactate dehydrogenase B chain,LDHB,1200083,X13794,P07195,LDHB_HUMAN,1I0Z,LDHB,LDHB,HGNC:6541,01026,human,Homo sapiens,DB00157; DB01907; DB02401; DB03940
78,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,219918,D90228,P24752,THIL_HUMAN,,ACAT1,ACAT1,HGNC:93,01946,human,Homo sapiens,DB00795
80,Peroxisome proliferator-activated receptor alpha,PPARA,307341,L02932,Q07869,PPARA_HUMAN,1K7L,PPARA,PPARA,HGNC:9232,01369,human,Homo sapiens,DB00636; DB01039; DB01241; DB01393; DB01890; DB07215; DB07724; DB08483
81,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,10934059,AB050049,Q9HCC0,MCCB_HUMAN,,MCCC2,MCCC2,HGNC:6937,01952,human,Homo sapiens,DB00121
83,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",AASS,7264724,AF229180,Q9UDR5,AASS_HUMAN,,AASS,AASS,HGNC:17366,05489,human,Homo sapiens,DB00142; DB00157; DB02338; DB04207
84,Nuclear receptor 0B1,NR0B1,786532,U31929,P51843,NR0B1_HUMAN,"",NR0B1,NR0B1,HGNC:7960,08362,human,Homo sapiens,DB00755; DB01234
85,Growth hormone receptor,GHR,31738,X06562,P10912,GHR_HUMAN,1KF9,GHR,GHR,HGNC:4263,02971,human,Homo sapiens,DB00052; DB00082
86,SEC14-like protein 4,SEC14L4,27803380,AY158085,Q9UDX3,S14L4_HUMAN,,SEC14L4,SEC14L4,HGNC:20627,15312,human,Homo sapiens,DB00163
87,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885,M31642,P00492,HPRT_HUMAN,1BZY,HPRT1,HPRT1,HGNC:5157,02388,human,Homo sapiens,DB00993; DB01033; DB01632; DB02212; DB02309; DB03153; DB04356
88,Retinoic acid receptor RXR-beta,RXRB,30448,X63522,P28702,RXRB_HUMAN,1UHL,RXRB,RXRB,HGNC:10478,01578,human,Homo sapiens,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799; DB00926; DB01941; DB07080; DB07929; DB08175
89,Cysteine sulfinic acid decarboxylase,CSAD,4894558,AF116546,Q9Y600,CSAD_HUMAN,,CSAD,CSAD,HGNC:18966,16763,human,Homo sapiens,DB00114; DB00151
91,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,4191348,AF087661,O95299,NDUAA_HUMAN,,NDUFA10,NDUFA10,HGNC:7684,11950,human,Homo sapiens,DB00157
92,Creatine kinase B-type,CKB,180572,M16451,P12277,KCRB_HUMAN,1G0W,CKB,CKB,HGNC:1991,00423,human,Homo sapiens,DB00148
93,CAMPATH-1 antigen,CD52,29646,X62466,P31358,CD52_HUMAN,"",CD52,CD52,HGNC:1804,00257,human,Homo sapiens,DB00087
94,5-hydroxytryptamine 4 receptor,HTR4,2661757,Y12505,Q13639,5HT4R_HUMAN,,HTR4,HTR4,HGNC:5299,09074,human,Homo sapiens,DB00604; DB00904; DB01079; DB01233; DB08810
95,Ferritin light chain,FTL,182514,M11147,P02792,FRIL_HUMAN,"",FTL,FTL,HGNC:3999,00616,human,Homo sapiens,DB00893; DB02285
96,Histidine ammonia-lyase,HAL,451210,D16626,P42357,HUTH_HUMAN,"",HAL,HAL,HGNC:4806,07187,human,Homo sapiens,DB00117
97,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,190074,L06419,Q02809,PLOD1_HUMAN,"",PLOD1,PLOD1,HGNC:9081,01086,human,Homo sapiens,DB00126; DB00139
98,Pyruvate kinase isozymes M1/M2,PKM2,189998,M23725,P14618,KPYM_HUMAN,1F3X,PKM2,PKM2,HGNC:9021,01529,human,Homo sapiens,DB00119; DB01733; DB02726; DB07628; DB07692; DB07697
99,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,2911482,AF047434,O43920,NDUS5_HUMAN,,NDUFS5,NDUFS5,HGNC:7712,11961,human,Homo sapiens,DB00157
101,Potassium voltage-gated channel subfamily H member 2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,1BYW,KCNH2,KCNH2,HGNC:6251,01069,human,Homo sapiens,DB00204; DB00276; DB00308; DB00342; DB00457; DB00489; DB00590; DB00604; DB00637; DB00661; DB00679; DB00908; DB01100; DB01110; DB01118; DB01136; DB01162; DB01182; DB01218; DB06144
102,"DNA topoisomerase I, mitochondrial",TOP1MT,15919359,AF349031,Q969P6,TOP1M_HUMAN,,TOP1MT,TOP1MT,HGNC:29787,16214,human,Homo sapiens,DB00762; DB01030
103,Muscarinic acetylcholine receptor M1,CHRM1,34451,X52068,P11229,ACM1_HUMAN,"",CHRM1,CHRM1,HGNC:1950,00338,human,Homo sapiens,DB00185; DB00202; DB00209; DB00219; DB00245; DB00246; DB00280; DB00321; DB00332; DB00334; DB00340; DB00354; DB00363; DB00366; DB00376; DB00383; DB00387; DB00392; DB00411; DB00420; DB00424; DB00434; DB00458; DB00462; DB00496; DB00505; DB00508; DB00517; DB00540; DB00543; DB00572; DB00622; DB00670; DB00715; DB00725; DB00747; DB00767; DB00771; DB00777; DB00782; DB00785; DB00804; DB00805; DB00809; DB00810; DB00835; DB00875; DB00907; DB00934; DB00940; DB00942; DB00979; DB00986; DB01036; DB01062; DB01069; DB01085; DB01142; DB01148; DB01151; DB01175; DB01224; DB01231; DB01233; DB01238; DB01239; DB01403; DB01409; DB01591; DB01618; DB04365; DB04843; DB06702
104,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6,3348137,AF044959,O75380,NDUS6_HUMAN,,NDUFS6,NDUFS6,HGNC:7713,10356,human,Homo sapiens,DB00157
105,Sodium-dependent multivitamin transporter,SLC5A6,5006439,AF116241,Q9Y289,SC5A6_HUMAN,,SLC5A6,SLC5A6,HGNC:11041,04934,human,Homo sapiens,DB00121; DB00166
106,Cannabinoid receptor 2,CNR2,407807,X74328,P34972,CNR2_HUMAN,"",CNR2,CNR2,HGNC:2160,05444,human,Homo sapiens,DB00470; DB00486
107,C-4 methylsterol oxidase,SC4MOL,1408206,U60205,Q15800,ERG25_HUMAN,,SC4MOL,SC4MOL,HGNC:10545,07396,human,Homo sapiens,DB00157
109,Mitochondrial carnitine/acylcarnitine carrier protein CACL,SLC25A29,28193150,BX247983,Q8N8R3,MCATL_HUMAN,,SLC25A29,SLC25A29,HGNC:20116,15360,human,Homo sapiens,DB00583
110,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,189760,M34479,P11177,ODPB_HUMAN,1NI4,PDHB,PDHB,HGNC:8808,01530,human,Homo sapiens,DB00119; DB00157
111,Cysteinyl leukotriene receptor 2,CYSLTR2,9663958,AB038269,Q9NS75,CLTR2_HUMAN,,CYSLTR2,CYSLTR2,HGNC:18274,09293,human,Homo sapiens,DB00716
112,L-lactate dehydrogenase A-like 6B,LDHAL6B,12331000,AY009108,Q9BYZ2,LDH6B_HUMAN,,LDHAL6B,LDHAL6B,HGNC:21481,13981,human,Homo sapiens,DB00157
113,S-adenosylmethionine decarboxylase proenzyme,AMD1,178518,M21154,P17707,DCAM_HUMAN,1MSV,AMD1,AMD1,HGNC:457,01622,human,Homo sapiens,DB00118; DB01917; DB03754; DB08163
114,"Alanine--glyoxylate aminotransferase 2, mitochondrial",AGXT2,12406973,AJ292204,Q9BYV1,AGT2_HUMAN,,AGXT2,AGXT2,HGNC:14412,10638,human,Homo sapiens,DB00114; DB00119; DB00145; DB00160
115,Penicillin-binding protein 2,mrdA,1572976,L42023,P44469,PBP2_HAEIN,"",,,,,bacterial,Haemophilus influenzae,DB00303; DB00671
117,Sterol O-acyltransferase 1,SOAT1,4878022,L21934,P35610,SOAT1_HUMAN,"",SOAT1,SOAT1,HGNC:11177,00033,human,Homo sapiens,DB00973; DB01094
118,Organic cation/carnitine transporter 2,SLC22A5,3273741,AF057164,O76082,S22A5_HUMAN,,SLC22A5,SLC22A5,HGNC:10969,04539,human,Homo sapiens,DB00583
119,Carcinoembryonic antigen-related cell adhesion molecule 1,CEACAM1,179440,J03858,P13688,CEAM1_HUMAN,"",CEACAM1,CEACAM1,HGNC:1814,00191,human,Homo sapiens,DB00113; DB02944
121,N-acylglucosamine 2-epimerase,RENBP,220053,D10232,P51606,RENBP_HUMAN,,RENBP,RENBP,HGNC:9959,02423,human,Homo sapiens,DB00141
122,P2Y purinoceptor 12,P2RY12,12083902,AF313449,Q9H244,P2Y12_HUMAN,,P2RY12,P2RY12,HGNC:18124,02743,human,Homo sapiens,DB00208; DB00374; DB00758; DB01240; DB06209; DB08816
123,Diamine acetyltransferase 1,SAT1,338392,M77693,P21673,SAT1_HUMAN,"",SAT1,SAT1,HGNC:10540,02431,human,Homo sapiens,DB04633
124,Histamine H2 receptor,HRH2,184088,M64799,P25021,HRH2_HUMAN,,HRH2,HRH2,HGNC:5183,00816,human,Homo sapiens,DB00272; DB00501; DB00585; DB00667; DB00751; DB00863; DB00927; DB00940; DB01142; DB06216; DB08805; DB08806
125,DNA polymerase beta,POLB,292397,L11607,P06746,DPOLB_HUMAN,8ICK,POLB,POLB,HGNC:9174,07517,human,Homo sapiens,DB00987; DB03222; DB07479
126,D-lactate dehydrogenase,dld,145753,M10038,P06149,DLD_ECOLI,1F0X,,,,,bacterial,Escherichia coli,DB00756; DB03147
128,Adenine phosphoribosyltransferase,APRT,28819,Y00486,P07741,APT_HUMAN,1ORE,APRT,APRT,HGNC:626,00029,human,Homo sapiens,DB00173; DB01632; DB03506; DB04272
129,Evolved beta-galactosidase subunit alpha,ebgA,145821,M64441,P06864,BGA2_ECOLI,"",,,,,bacterial,Escherichia coli,DB00581
130,Prostacyclin synthase,PTGIS,10944956,D38145,Q16647,PTGIS_HUMAN,,PTGIS,PTGIS,HGNC:9603,09046,human,Homo sapiens,DB00812; DB01240; DB08675
131,Synaptic vesicular amine transporter,SLC18A2,292335,L09118,Q05940,VMAT2_HUMAN,"",SLC18A2,SLC18A2,HGNC:10935,01896,human,Homo sapiens,DB00182; DB00206; DB00386; DB00865; DB01089; DB01363; DB01364; DB01442; DB01454; DB01472; DB01576; DB01577; DB04844; DB06706; DB06714
132,ATP-binding cassette sub-family A member 1,ABCA1,9247086,AF275948,O95477,ABCA1_HUMAN,,ABCA1,ABCA1,HGNC:29,02501,human,Homo sapiens,DB00171; DB01016; DB01599
133,Dihydropterate synthase,sulI,44284,X53635,Q49184,DHP1_MYCFO,"",,,,,bacterial,Mycobacterium fortuitum,DB00891
134,Tryptophan 5-hydroxylase 1,TPH1,37955,X52836,P17752,TPH1_HUMAN,1MLW,TPH1,TPH1,HGNC:12008,01846,human,Homo sapiens,DB00360; DB03271
135,Probable arabinosyltransferase B,embB,1552877,BX842584,P72030,EMBB_MYCTU,"",,,,,bacterial,Mycobacterium tuberculosis,DB00330
136,Estrogen receptor,ESR1,31234,X03635,P03372,ESR1_HUMAN,1R5K,ESR1,ESR1,HGNC:3467,00589,human,Homo sapiens,DB00255; DB00269; DB00286; DB00294; DB00304; DB00367; DB00396; DB00481; DB00539; DB00603; DB00655; DB00675; DB00783; DB00823; DB00882; DB00890; DB00947; DB00957; DB00977; DB01065; DB01108; DB01183; DB01185; DB01196; DB01357; DB01406; DB01431; DB01645; DB02615; DB02715; DB03742; DB03802; DB04471; DB04573; DB04574; DB04575; DB06871; DB06898; DB06927; DB07086; DB07087; DB07195; DB07567; DB07638; DB07678; DB07707; DB07708; DB07712; DB07932; DB07933; DB07991; DB08020; DB08047; DB08048; DB08320; DB08398; DB08595; DB08737; DB08773
